id,title,description,municipality,link,image_link,additional_image_link,availability,availability_date,cost_of_goods_sold,google_product_category,product_type,sale_link,age_group,venue_name
15b369ce-2bc4-4553-b425-8c896c75ed72,La Vaca Lola y sus amigos,"<p style=""color: rgb(0, 0, 0); font-family: &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif; font-size: 12px; font-weight: 400;"">Lola, la vaca más famosa del mundo llega con su obra de teatro musical, junto con sus ocurrentes y divertidos amigos, quienes a través de la música y el baile, enseñarán a los más pequeños y grandes a valorar la importancia de la alimentación, el respeto por la naturaleza y el verdadero significado de la amistad. La Vaca Lola se ha convertido en la artista infantil del momento, posicionándose como uno de los personajes con más vistas en YouTube, alcanzando más de mil millones de reproducciones. Este espectáculo teatro-musical interactivo, es un espacio familiar para la diversión y la pedagogía que brindará una experiencia inmersiva en el universo de La Vaca Lola y sus amigos, por medio de una gran apuesta en escena a través de las mejores canciones populares de todos los tiempos.</p><p style=""color: rgb(0, 0, 0); font-family: &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif; font-size: 12px; font-weight: 400;""><strong>Menores de 12 meses no pagan entrada.</strong></p>","",https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3afphcx-la-vaca-lola-y-sus-amigos,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/15b369ce-2bc4-4553-b425-8c896c75ed72/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/15b369ce-2bc4-4553-b425-8c896c75ed72/product_page/public,in_stock,,0,Musical infantil,event,https://pago.ataquilla.com/#/event/X3AFPHCX/,,Auditorio semana verde de Galicia
1eeb574e-9651-4869-8a6e-f791215d8c10,La Vaca Lola y sus amigos,"<p style=""color: rgb(0, 0, 0); font-family: &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif; font-size: 12px; font-weight: 400;"">Lola, la vaca más famosa del mundo llega con su obra de teatro musical, junto con sus ocurrentes y divertidos amigos, quienes a través de la música y el baile, enseñarán a los más pequeños y grandes a valorar la importancia de la alimentación, el respeto por la naturaleza y el verdadero significado de la amistad. La Vaca Lola se ha convertido en la artista infantil del momento, posicionándose como uno de los personajes con más vistas en YouTube, alcanzando más de mil millones de reproducciones. Este espectáculo teatro-musical interactivo, es un espacio familiar para la diversión y la pedagogía que brindará una experiencia inmersiva en el universo de La Vaca Lola y sus amigos, por medio de una gran apuesta en escena a través de las mejores canciones populares de todos los tiempos.</p><p style=""color: rgb(0, 0, 0); font-family: &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif; font-size: 12px; font-weight: 400;""><strong>Menores de 12 meses no pagan entrada.</strong></p>","",https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3afpgjn-la-vaca-lola-y-sus-amigos,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/1eeb574e-9651-4869-8a6e-f791215d8c10/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/1eeb574e-9651-4869-8a6e-f791215d8c10/product_page/public,in_stock,,0,Musical infantil,event,https://pago.ataquilla.com/#/event/X3AFPGJN/,,Teatro del colegio San Narciso de Marín
11c9306a-1666-4d3e-92ca-2c5ec5d2ba39,La Vaca Lola y sus amigos,"<p style=""color: rgb(0, 0, 0); font-family: &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif; font-size: 12px; font-weight: 400;"">Lola, la vaca más famosa del mundo llega con su obra de teatro musical, junto con sus ocurrentes y divertidos amigos, quienes a través de la música y el baile, enseñarán a los más pequeños y grandes a valorar la importancia de la alimentación, el respeto por la naturaleza y el verdadero significado de la amistad. La Vaca Lola se ha convertido en la artista infantil del momento, posicionándose como uno de los personajes con más vistas en YouTube, alcanzando más de mil millones de reproducciones. Este espectáculo teatro-musical interactivo, es un espacio familiar para la diversión y la pedagogía que brindará una experiencia inmersiva en el universo de La Vaca Lola y sus amigos, por medio de una gran apuesta en escena a través de las mejores canciones populares de todos los tiempos.</p><p style=""color: rgb(0, 0, 0); font-family: &quot;Lucida Grande&quot;, Helvetica, Arial, sans-serif; font-size: 12px; font-weight: 400;""><strong>Menores de 12 meses no pagan entrada.</strong></p>",A Coruña,https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3afpfgj-la-vaca-lola-y-sus-amigos,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/11c9306a-1666-4d3e-92ca-2c5ec5d2ba39/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/11c9306a-1666-4d3e-92ca-2c5ec5d2ba39/product_page/public,in_stock,,14.6,Musical infantil,event,https://pago.ataquilla.com/#/event/X3AFPFGJ/,,Auditorio de Catoira
b0e3270a-9aef-41dd-ab14-1705f40e4ad6,UNIVERSO ENTRE CANCIONES,"Universo entre Canciones es un espectáculo que fusiona arte y ciencia. El físico y divulgador científico José Edelstein (premio Prismas de divulgación científica en 2019 y 2023), junto a las músicas argentinas Lore Edelstein y Daniela De Rito, entretejen un conjunto de narraciones sobre el cosmos y nuestro lugar en él con canciones propias que lo celebran. La identidad musical iberoamericana acompaña esta exploración cientipoética de la inmensidad del cielo.",Lugo,https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3ag3a06-universo-entre-canciones,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/b0e3270a-9aef-41dd-ab14-1705f40e4ad6/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/b0e3270a-9aef-41dd-ab14-1705f40e4ad6/product_page/public,in_stock,,11,Conciertos,event,https://pago.ataquilla.com/#/event/X3AG3A06/,,Auditorio Sede Afundación Lugo
c714a8fb-1b26-4e80-94c2-2192d5eb6731,Rodrigo Cuevas | Romaría de Santa Margarida 2024,"<!--EndFragment--><p><!--StartFragment-->Llega a A Coruña el actual Premio Nacional de Música Actual, Rodrigo Cuevas, presentando ""MANUAL DE ROMERÍA"" en la Romaría de Santa Margarida el jueves 29 de agosto de 2024.</p><p> Un concierto que abrirá Pandeireteiras sen Fronteiros (Pansenfron) y en el que podrás disfrutar del último trabajo discográfico del cantante asturiano, un trabajo premiado publicado el pasado mes de septiembre y producido por el puertorriqueño Eduardo Cabra.</p><p> Rodrigo nos descubre en este “Manual de Romería” como un creador que ha trabajado duro a lo largo de los años, recorriendo el camino y desvelando los misterios del oficio del músico. Crecimiento personal sumado al profesional que resulta en una huella por composiciones y arreglos originales de temas tradicionales.</p><p> Rodrigo Cuevas: Intérprete, voz y percusión </p><p>Mapi Quintana: Voz, vocoder, contrabajo y percusión </p><p>Juanjo Díaz: Percusión y programación </p><p>Rubén Bada: Guitarra española y eléctrica, voz y percusión </p><p>Tino Cuesta: Programación, sintetizadores, voz y percusión </p><p>Más información en&nbsp;<a href="" https://rodrigocuevas.sexy/"" target=""_blank"" style=""color: rgb(0, 0, 255);""> https://rodrigocuevas.sexy/</a><!--EndFragment--><br></p>",A Coruña,https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3aga465-rodrigo-cuevas-7c-romaria-de-santa-margarida-2024,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/c714a8fb-1b26-4e80-94c2-2192d5eb6731/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/c714a8fb-1b26-4e80-94c2-2192d5eb6731/product_page/public,in_stock,,21.6,Conciertos,event,https://pago.ataquilla.com/#/event/X3AGA465/,,Parque Santa Margarita
230ff0c9-f78d-4b27-aca2-a536e76628bd,"ATEMPO! de Pablo Méndez, el gran performance español","",Ourense,https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3af9qp6-atempo21-de-pablo-mendez2c-el-gran-performance-espanol,,,in_stock,,8.8,Teatro,event,https://pago.ataquilla.com/#/event/X3AF9QP6/,,Auditorio Municipal de Ourense
a76f4db5-b1cd-4384-ae33-972b04850a81,"David Cepo ""No cruces los brazos""","<p><strong>Duración: 80 minutos.</strong></p><p><strong>Edad recomendada: +14</strong></p><p>Nacido en Madrid en el año 1988, David Cepo comienza a interesarse por las tablas de un escenario desde que tenía poco más de 20 años. Siempre mostrando su vis cómica, se forma como actor en la Escuela municipal de arte dramático de Madrid y en el centro Estudio 2 de Manuel Galiana, donde es seleccionado para ser parte del elenco de actor es que representan obras como HITA, ¿De qué hablamos cuando hablamos de amor? o Terror y miseria del Tercer Reich.</p><p>En la actualidad, aparte de su trabajo en solitario, es un fijo en el espectáculo Las Noches del club de la comedia. La cercanía es su sello, y su objetivo hacer reír a todos los asistentes, aunque, para él, la actitud con la que se entra en la sala es importante. Como él mismo dice “No cruces los brazos, no te entran los chistes”</p><p>¿Estáis preparados para explotar de la risa con el nuevo espectáculo de la estrella cómica del momento? David Cepo cómico de nacimiento e influencer por sorpresa, se ha convertido en la nueva sensación en redes sociales gracias a su espontaneidad y cercanía. Muchos de sus vídeos se han viralizado y ahora llega al teatro con un espectáculo cargado de risas y humor donde David hará que te sientas protagonista de su propio show.</p><p>Así que no tienes excusa ¿Te vienes a vivir la experiencia? Pues pa’lante, ¿me entiendes? David Cepo te espera para hacerte reir. Y ya sabes, NO CRUCES LOS BRAZOS que no te entran los chistes.</p>",Vigo,https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3aexacx-david-cepo-22no-cruces-los-brazos22,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/a76f4db5-b1cd-4384-ae33-972b04850a81/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/a76f4db5-b1cd-4384-ae33-972b04850a81/product_page/public,in_stock,,0,Humor,event,https://pago.ataquilla.com/#/event/X3AEXACX/,adult,Teatro Afundación Vigo
b139076b-d1bb-46d0-bb09-906af768332f,La Paloma. Todavía No (Fin de Gira),"<p style=""color: rgb(0, 0, 0); font-weight: 400; text-align: start""><strong>La Paloma. Todavía No (Fin de Gira)</strong></p><p style=""color: rgb(0, 0, 0); font-weight: 400; text-align: start"">“Todavía no”, el álbum debut de La Paloma, consolida al conjunto madrileño como una de las realidades del panorama actual. Se trata de un paso al frente en todos los sentidos: compositivo, interpretativo y artístico. Noise rock para combatir el ruido.</p>",A Coruña,https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3ag7738-la-paloma-todavia-no-28fin-de-gira29,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/b139076b-d1bb-46d0-bb09-906af768332f/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/b139076b-d1bb-46d0-bb09-906af768332f/product_page/public,in_stock,,20.9,Conciertos,event,https://pago.ataquilla.com/#/event/X3AG7738/,,Sala Pantalán
f3b63750-18c9-40a2-8d4e-c67142b80f8e,XXV MOSTRA DE CURTAS VILA DE NOIA - Proxección da película: + Cuñados,<p><!--StartFragment-->Proyección de la película: + Cuñados<!--EndFragment--><br></p>,"",https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3agtmbj-xxv-mostra-de-curtas-vila-de-noia-proxeccion-da-pelicula3a-2b-cunados,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/f3b63750-18c9-40a2-8d4e-c67142b80f8e/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/f3b63750-18c9-40a2-8d4e-c67142b80f8e/product_page/public,in_stock,,0,Cine,event,https://pago.ataquilla.com/#/event/X3AGTMBJ/,,Teatro Coliseo Noela Noia
d1b7deed-2408-47f5-8437-3ee547860793,Carlos Blanco,Monólogo de Carlos Blanco,Santiago de Compostela,https://entradas.ataquilla.com/es/ventaentradas/category/venue/x3afs3za-carlos-blanco,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/d1b7deed-2408-47f5-8437-3ee547860793/listings/public,https://imagedelivery.net/tZoSJr8WmDEGOWRr6KGn0Q/ataquillacms/product/d1b7deed-2408-47f5-8437-3ee547860793/product_page/public,in_stock,,16.2,Monólogos,event,https://pago.ataquilla.com/#/event/X3AFS3ZA/,,Auditorio Abanca
